wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933345.758222,28419,286269,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.7682357,28420,286279,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.7780542,28421,286289,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.788124,28422,286299,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.7980201,28423,286309,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.8081937,28424,286319,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.8179185,28425,286329,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.8280764,28426,286339,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.8379023,28427,286349,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933345.84818,28428,286359,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.857867,28429,286369,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.867861,28430,286379,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.8778908,28431,286389,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.888501,28432,286399,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933345.897872,28433,286409,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933345.9080644,28434,286419,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933345.9180288,28435,286429,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933345.9283032,28436,286439,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.9378712,28437,286449,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.9479399,28438,286459,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.958148,28439,286469,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933345.9682598,28440,286479,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933345.9780715,28441,286489,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933345.9878244,28442,286499,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933345.9978967,28443,286509,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.0083086,28444,286519,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.0180252,28445,286529,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.027869,28446,286539,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.0380661,28447,286549,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.0483735,28448,286559,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.0579705,28449,286569,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.068171,28450,286579,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.0779996,28451,286589,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.088286,28452,286599,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.0983477,28453,286609,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.1080062,28454,286619,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.1179988,28455,286629,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.128337,28456,286639,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.1380594,28457,286649,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.1480198,28458,286659,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.1580653,28459,286669,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.1682498,28460,286679,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.1782112,28461,286689,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.187933,28462,286699,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.197911,28463,286709,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.2085648,28464,286719,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.2180495,28465,286729,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.228065,28466,286739,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.238074,28467,286749,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.2482183,28468,286759,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.2581306,28469,286769,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.2682621,28470,286779,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.2783062,28471,286789,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.288398,28472,286799,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.2979038,28473,286809,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.3080091,28474,286819,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.31789,28475,286829,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.3284347,28476,286839,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.3380034,28477,286849,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.3481238,28478,286859,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.3581302,28479,286869,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933346.3686008,28480,286879,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.3781693,28481,286889,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.3881843,28482,286899,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.3982484,28483,286909,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.4085734,28484,286919,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.4178908,28485,286929,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.4280074,28486,286939,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.4380636,28487,286949,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.448131,28488,286959,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.4581811,28489,286969,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.4680283,28490,286979,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.4779298,28491,286989,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.488339,28492,286999,0.0,0.0,0.0,0.0,0.0,0.0,145,0
